file_id,file,main_image,image_component,patient_id,license,file_size,caption,case_substring,image_type,image_subtype,radiology_region,radiology_region_granular,radiology_view,ml_labels_for_supervised_classification,gt_labels_for_semisupervised_classification,is_chest
file_0000034,PMC10009052_gr1_undivided_1_1.webp,PMC10009052_01_gr1.jpg,undivided,PMC10009052_01,CC BY,16308,Chest X-ray posterior-anterior view showing bilateral nonhomogeneous opacities in the lower zone.,['Fig. 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'frontal', 'posteroanterior', 'x_ray', 'mass']",True
file_0000056,PMC10010120_IMCRJ-16-129-g0006_undivided_1_1.webp,PMC10010120_01_IMCRJ-16-129-g0006.jpg,undivided,PMC10010120_01,CC BY-NC,11100,A chest x-ray image showed a ground glass appearance from the mid to the bottom of the right lung.,['Figure 6'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000127,PMC10012974_TJTCS-2023-31-1-128-130-F1_undivided_1_1.webp,PMC10012974_01_TJTCS-2023-31-1-128-130-F1.jpg,undivided,PMC10012974_01,CC BY-NC,13580,Chest X-ray showing new implantable central venous catheter inserted into the left subclavian vein (arrow in upper right corner) and fracture catheter fragment embolized to the middle lobe branch of the right segmentary pulmonary artery (arrow in lower left corner).,['Figures 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000165,PMC10014623_fped-11-1144384-g001_A_1_2.webp,PMC10014623_01_fped-11-1144384-g001.jpg,a,PMC10014623_01,CC BY,2916,Chest x-ray. (A) Large soft tissue shadow in bilateral thoracic cavity.,['Figure 1A'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000166,PMC10014623_fped-11-1144384-g001_B_2_2.webp,PMC10014623_01_fped-11-1144384-g001.jpg,b,PMC10014623_01,CC BY,7254,Chest x-ray. (B) Chest x-ray 2 months after thymectomy showed good expansion of both lungs and no recurrence.,['Figure 1B'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000377,PMC10024806_ijem-21-1-131341-g001_A_1_2.webp,PMC10024806_01_ijem-21-1-131341-g001.jpg,a,PMC10024806_01,CC BY-NC,7442,Chest X-ray (Left side): Increased cardiac silhouette.,[],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000456,PMC10027923_fsurg-10-1100264-g001_B_2_5.webp,PMC10027923_01_fsurg-10-1100264-g001.jpg,b,PMC10027923_01,CC BY,2804,Chest computed tomography (CT) and fluoroscopy. (B) Dimeglumine flowed into right low lobe via mediastinal drainage tube through right inferior bronchus in chest fluoroscopy. Arrow: dimeglumine.,"['Figure 1A,B']",radiology,x_ray,lower_limb,foot,frontal,"['radiology', 'lower_limb', 'frontal', 'x_ray', 'foot']",['radiology'],True
file_0000458,PMC10027923_fsurg-10-1100264-g001_D_4_5.webp,PMC10027923_01_fsurg-10-1100264-g001.jpg,d,PMC10027923_01,CC BY,4970,"Chest computed tomography (CT) and fluoroscopy. (C,D) CT and fluoroscopy (pulled dimeglumine via mediastinal drainage tube) showed the fistula of bronchus is healed.","['Figure 1C,D']",radiology,x_ray,thorax,thorax,oblique,"['thorax', 'radiology', 'oblique', 'x_ray']",['radiology'],True
file_0000462,PMC10028085_fsurg-10-1131659-g003_A_1_2.webp,PMC10028085_01_fsurg-10-1131659-g003.jpg,a,PMC10028085_01,CC BY,3168,(A) Portable x-ray demonstrating two chest tubes inserted at the left side (arrows).,['Figure 3'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000519,PMC10031013_fcvm-10-1117244-g0003_A_1_2.webp,PMC10031013_01_fcvm-10-1117244-g0003.jpg,a,PMC10031013_01,CC BY,8510,"Chest x-ray. X-ray after the first pacemaker operation on September 12, 2019.","['Figures 3A, B']",radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
